lng,lat
-122.280278752,37.7876966941
-122.280296451,37.7876844493
-122.280318863,37.7876712055
-122.280342523,37.7876603656
-122.280366814,37.7876526308
-122.280391851,37.7876482923
-122.280415905,37.787647055
-122.280439116,37.7876492191
-122.280464384,37.7876557521
-122.280487265,37.7876666279
-122.280505724,37.7876818769
-122.280517247,37.7876976063
-122.280523105,37.78771561
-122.280525039,37.7877353749
-122.280519656,37.7877552638
-122.280508699,37.7877744713
-122.280493026,37.7877920014
-122.280473322,37.7878069176
-122.280451128,37.7878188073
-122.280427348,37.7878276988
-122.280402813,37.7878331711
-122.280377994,37.7878355024
-122.280354032,37.7878347407
-122.280330901,37.7878317607
-122.280307513,37.7878273755
-122.280283933,37.7878231241
-122.280259238,37.7878199909
-122.280233487,37.7878192589
-122.280207349,37.7878220411
-122.280181275,37.7878286582
-122.280157132,37.7878400355
-122.280139051,37.7878517164
-122.280122414,37.787865107
-122.280106921,37.7878795582
-122.280092632,37.7878943183
-122.280077767,37.7879093434
-122.280063749,37.7879242627
-122.280049948,37.7879391072
-122.28003526,37.7879580769
-122.280024782,37.7879776089
-122.280019448,37.787997413
-122.280019532,37.7880167257
-122.280024642,37.7880349495
-122.280034161,37.7880516672
-122.280050066,37.7880682724
-122.280070869,37.7880813574
-122.28009234,37.788088664
-122.280115313,37.7880922655
-122.28013909,37.7880911189
-122.280163297,37.7880861835
-122.280185446,37.7880771703
-122.280205139,37.7880647951
-122.280220974,37.788049725
-122.280232712,37.788032861
-122.280240339,37.7880150567
-122.280243795,37.7879972525
-122.280241929,37.7879762983
-122.280234895,37.7879561736
-122.280223064,37.787937725
-122.280212242,37.787922111
-122.280202384,37.7879058721
-122.280194115,37.7878882777
-122.280188421,37.787869396
-122.280186104,37.7878491848
-122.280187609,37.7878281869
-122.280193077,37.7878064003
-122.280202445,37.7877853787
-122.280215318,37.7877654143
-122.280230354,37.7877468283
-122.280247817,37.7877297378
-122.280266471,37.7877141996
-122.280286076,37.7877003613
-122.280306833,37.7876882129
-122.280328631,37.7876779148
-122.280350224,37.787669447
-122.280372364,37.7876627752
-122.280394766,37.7876582255
-122.280420732,37.7876564039
-122.280444548,37.7876591053
-122.280468124,37.7876680704
-122.280486965,37.7876818976
-122.28049995,37.7877003382
-122.280505745,37.7877196387
-122.280506122,37.787737985
-122.28050107,37.7877572761
-122.280491352,37.7877763588
-122.280476942,37.7877939558
-122.280458775,37.787809028
-122.280437715,37.7878211514
-122.280414884,37.7878302171
-122.280391386,37.7878360817
-122.280367181,37.7878389338
-122.280343929,37.7878384815
-122.28032135,37.7878351647
-122.280299066,37.7878299311
-122.280276535,37.7878251949
-122.280252889,37.7878214227
-122.280228212,37.7878203073
-122.280203541,37.7878226273
-122.280179036,37.7878285335
-122.280155861,37.7878386442
-122.280134478,37.7878520142
-122.280115455,37.7878683933
-122.280097696,37.7878857948
-122.280080899,37.787903716
-122.280064191,37.7879212497
-122.280048295,37.7879383233
-122.280034522,37.7879551132
-122.280024318,37.7879727505
-122.280017932,37.7879906807
-122.280016187,37.7880088682
-122.280019738,37.788029405
-122.280029386,37.7880475565
-122.280043469,37.7880626731
-122.28006408,37.7880760655
-122.280085345,37.7880840606
-122.280112367,37.7880874017
-122.280135532,37.7880856233
-122.280159464,37.7880805356
-122.280181736,37.788072035
-122.280201864,37.7880609775
-122.280218754,37.7880475465
-122.280232295,37.7880326409
-122.280242508,37.7880126073
-122.280246203,37.7879929234
-122.280242984,37.7879730077
-122.280233911,37.7879540671
-122.280222863,37.7879379791
-122.280209207,37.7879214225
-122.280197261,37.7879049603
-122.280187435,37.7878860091
-122.280181673,37.7878679885
-122.280179475,37.7878487123
-122.280181149,37.7878283356
-122.28018706,37.7878076388
-122.280197432,37.7877873347
-122.280207671,37.7877709043
-122.280220366,37.7877550956
-122.280234285,37.7877393107
-122.280250331,37.7877239737
-122.280267267,37.7877094562
-122.280285264,37.7876960991
-122.280303911,37.7876837072
-122.280323309,37.7876731172
-122.280347678,37.7876621189
-122.280372264,37.7876541269
-122.280397343,37.7876493275
-122.280421362,37.7876477321
-122.280444312,37.787649945
-122.280468602,37.7876570303
-122.280489326,37.787668398
-122.280505288,37.7876833461
-122.280515987,37.7877008487
-122.280520804,37.7877212412
-122.280519463,37.7877393951
-122.280513426,37.7877582417
-122.280502948,37.7877768552
-122.280488094,37.7877942261
-122.280469478,37.7878088424
-122.280448187,37.7878205309
-122.280425298,37.7878292584
-122.28040147,37.787834977
-122.280377279,37.7878375247
-122.280353655,37.7878373363
-122.280330779,37.7878346278
-122.280307835,37.7878304993
-122.280285059,37.7878265169
-122.280261335,37.7878234907
-122.280236916,37.7878229991
-122.280212204,37.7878254474
-122.280187715,37.7878306442
-122.280163794,37.7878392736
-122.280141173,37.7878512048
-122.280120925,37.7878658055
-122.280102348,37.787881935
-122.280085289,37.7878987257
-122.280068023,37.787915574
-122.280051878,37.7879326145
-122.280037243,37.7879500035
-122.280025983,37.7879684373
-122.280018679,37.787986523
-122.28001654,37.7880052538
-122.280018854,37.788023156
-122.28002705,37.7880430327
-122.280040301,37.7880598283
-122.280057653,37.7880728707
-122.28007802,37.7880828173
-122.280103329,37.7880882749
-122.280130675,37.7880883832
-122.280154029,37.7880841243
-122.280177093,37.7880770196
-122.280198515,37.788067221
-122.280217486,37.7880551401
-122.27098044,37.7857115195
-122.270956927,37.7857087586
-122.270933414,37.7857032777
-122.270910414,37.7856971506
-122.270885231,37.7856909881
-122.270860434,37.7856849786
-122.270834517,37.7856791338
-122.27080967,37.7856745882
-122.270783965,37.7856704477
-122.270758539,37.785666924
-122.270730914,37.7856647853
-122.270708141,37.7856638835
-122.27068029,37.7856634108
-122.270652971,37.7856641591
-122.270625652,37.7856654904
-122.27059891,37.7856671155
-122.270571733,37.7856686286
-122.270548092,37.7856696533
-122.270523655,37.7856706157
-122.27049716,37.7856717837
-122.270469795,37.7856727688
-122.270442553,37.7856737096
-122.270415697,37.7856742617
-122.270389616,37.7856742134
-122.270365513,37.7856736398
-122.270339429,37.785672681
-122.270315579,37.7856708907
-122.270291338,37.7856684724
-122.270267341,37.7856649061
-122.270243533,37.7856590512
-122.270222757,37.7856506911
-122.270203825,37.7856406313
-122.270187191,37.7856279063
-122.270174398,37.7856115797
-122.270166307,37.7855919103
-122.270163442,37.7855732322
-122.270164368,37.7855549486
-122.27017088,37.7855351546
-122.270180935,37.7855183736
-122.270192257,37.785500316
-122.270206797,37.7854829484
-122.27022372,37.7854662648
-122.270238459,37.7854522479
-122.270254001,37.7854382642
-122.2702706,37.7854245118
-122.270288494,37.785411157
-122.270306011,37.7853972889
-122.270324243,37.7853834043
-122.270342576,37.7853696032
-122.270360715,37.785355734
-122.270379246,37.785341531
-122.270397662,37.7853272429
-122.270416269,37.7853133467
-122.270433813,37.7852997767
-122.270451195,37.7852878454
-122.270471012,37.7852742705
-122.270490065,37.7852624739
-122.270511915,37.7852505441
-122.270531484,37.7852386888
-122.270551529,37.7852266727
-122.270570276,37.7852150078
-122.270587886,37.7852025251
-122.270604644,37.7851901741
-122.270622606,37.7851767109
-122.270639341,37.785163878
-122.270656792,37.7851504174
-122.270673657,37.7851375983
-122.270692399,37.7851241378
-122.270712104,37.7851103848
-122.270733806,37.7850961076
-122.270752281,37.7850840436
-122.27077204,37.7850721312
-122.270792282,37.785060304
-122.2708136,37.7850485729
-122.270835255,37.7850361431
-122.270857057,37.785023489
-122.27087898,37.7850105199
-122.270900557,37.7849976625
-122.270922588,37.7849841453
